sample_id,plot,block,treatment,fungal_abundance,bacterial_abundance,total_abundance,ratio,carbon,nitrogen,C:N,pH
A2S40,A2,A,L2,8.80E+06,4.67E+06,1.35E+07,1.89,1.128,0.698,1.616045845,4.58
A2S60,A2,A,L2,7.10E+06,3.80E+06,1.09E+07,1.87,0.962,0.207,4.647342995,4.52
A1N40,A1,A,E3,8.69E+06,5.39E+06,1.41E+07,1.61,2.245,0.183,12.26775956,4.64
A6S40,A6,A,U,9.66E+06,5.78E+06,1.54E+07,1.67,2.168,0.17,12.75294118,4.63
A5S60,A5,A,E2,9.61E+06,9.46E+06,1.91E+07,1.02,2.143,0.166,12.90963855,4.54
A1S60,A1,A,E3,2.47E+07,9.03E+06,3.37E+07,2.73,1.989,0.151,13.17218543,4.83
A5S20,A5,A,E2,1.12E+07,7.58E+06,1.88E+07,1.48,2.439,0.151,16.15231788,4.74
B2N60,B2,B,E1,7.44E+06,9.66E+06,1.71E+07,0.77,2.724,0.148,18.40540541,4.78
B3N40,B3,B,L2,4.44E+06,7.70E+06,1.21E+07,0.58,2.271,0.137,16.57664234,4.65
A2N60,A2,A,L2,7.21E+06,8.04E+06,1.53E+07,0.9,1.678,0.126,13.31746032,4.7
A1N20,A1,A,E3,3.86E+06,4.21E+06,8.07E+06,0.91,1.504,0.119,12.63865546,4.59
B1N60,B1,B,E5,3.03E+06,6.52E+06,9.55E+06,0.46,1.634,0.119,13.73109244,4.74
C3S60,C3,C,E1,8.80E+06,8.94E+06,1.77E+07,0.98,2.09,0.116,18.01724138,4.43
B1S60,B1,B,E5,5.34E+06,8.79E+06,1.41E+07,0.61,2.122,0.115,18.45217391,4.71
A1S40,A1,A,E3,4.82E+06,4.27E+06,9.09E+06,1.13,1.507,0.114,13.21929825,4.8
A5N60,A5,A,E2,8.06E+06,7.13E+06,1.52E+07,1.13,1.627,0.113,14.39823009,5.12
C3N20,C3,C,E1,1.10E+07,9.00E+06,2.00E+07,1.22,2.383,0.113,21.08849558,4.19
B1N20,B1,B,E5,6.25E+06,1.16E+07,1.79E+07,0.54,1.193,0.112,10.65178571,5.07
B3S60,B3,B,L2,1.08E+07,1.34E+07,2.42E+07,0.81,2.278,0.111,20.52252252,5.04
A5N40,A5,A,E2,4.64E+06,5.46E+06,1.01E+07,0.85,1.625,0.11,14.77272727,4.88
A5S40,A5,A,E2,5.81E+06,6.58E+06,1.24E+07,0.88,1.513,0.11,13.75454545,4.77
A5N20,A5,A,E2,2.26E+06,4.72E+06,6.98E+06,0.48,1.416,0.108,13.11111111,4.86
C3S40,C3,C,E1,4.48E+06,5.41E+06,9.89E+06,0.83,2.185,0.106,20.61320755,4.41
A6N40,A6,A,U,7.79E+06,9.51E+06,1.73E+07,0.82,1.416,0.105,13.48571429,4.78
C4N40,C4,C,E5,1.42E+07,9.01E+06,2.32E+07,1.57,1.946,0.104,18.71153846,4.4
A1S20,A1,A,E3,9.06E+06,4.81E+06,1.39E+07,1.88,1.354,0.103,13.14563107,4.73
C4N60,C4,C,E5,1.43E+07,7.53E+06,2.18E+07,1.91,2.047,0.102,20.06862745,4.29
A1N60,A1,A,E3,4.09E+06,3.39E+06,7.48E+06,1.2,1.34,0.1,13.4,4.57
C3N40,C3,C,E1,9.07E+06,1.10E+07,2.01E+07,0.83,2.129,0.1,21.29,4.62
B1S40,B1,B,E5,5.50E+06,1.12E+07,1.67E+07,0.49,1.918,0.097,19.77319588,4.84
C5S20,C5,C,U,1.27E+07,8.41E+06,2.11E+07,1.51,2.845,0.097,29.32989691,4.25
B1N40,B1,B,E5,4.34E+06,6.70E+06,1.10E+07,0.65,1.232,0.089,13.84269663,5.13
A3N40,A3,A,E1,1.03E+07,1.25E+07,2.28E+07,0.82,0.873,0.088,9.920454545,4.72
A3N20,A3,A,E1,3.59E+07,1.14E+07,4.73E+07,3.14,0.674,0.087,7.747126437,4.77
B3S40,B3,B,L2,4.00E+06,6.53E+06,1.05E+07,0.61,1.594,0.085,18.75294118,4.97
B2N40,B2,B,E1,4.12E+06,4.53E+06,8.65E+06,0.91,1.373,0.084,16.3452381,4.83
C5N40,C5,C,U,1.84E+06,2.26E+06,4.10E+06,0.81,2.212,0.084,26.33333333,4.21
