contrast,estimate,SE,df,t.ratio,p.value
E1 - E2,0.09689095279182729,0.1659573291544012,92,0.5838305140575211,0.9918782705910434
E1 - E3,0.1427208437166447,0.16595732915425124,92,0.8599851807930153,0.9549280141825764
E1 - E5,-0.01463995944061274,0.1783495479915038,92,-0.08208576699790772,0.9999994589001167
E1 - L2,-6.110778469079799e-4,0.16595732915413486,92,-0.0036821383546154444,1
E1 - U,-0.0991401316042812,0.17834954822055482,92,-0.5558754288610823,0.9935288597876322
E2 - E3,0.045829890924817415,0.16595732915486947,92,0.2761546667339379,0.9997760877734554
E2 - E5,-0.11153091223244002,0.17834955073757217,92,-0.6253501159447791,0.9888709021551391
E2 - L2,-0.09750203063873526,0.16595732915439043,92,-0.5875126524121688,0.9916394318836435
E2 - U,-0.1960310843961085,0.17834955096666308,92,-1.0991397698150103,0.8805270820766893
E3 - E5,-0.15736080315725745,0.17834954615764997,92,-0.882316812952023,0.9498452192111468
E3 - L2,-0.14333192156355268,0.16595732915425923,92,-0.8636673191475865,0.9541149447697396
E3 - U,-0.2418609753209259,0.17834954638667244,92,-1.3561064786593675,0.7527577490803963
E5 - L2,0.01402888159370476,0.17834954803576147,92,0.0786594737593155,0.9999995626457527
E5 - U,-0.08450017216366847,0.1881779233672878,92,-0.44904402520555015,0.997632726917158
L2 - U,-0.09852905375737323,0.17834954826481203,92,-0.5524491355093204,0.9937122472868286
